inspection_id,timestamp,ligne,produit,camera_id,defaut_detecte,type_defaut,confiance_ia_pct,score_qualite,largeur_mm,hauteur_mm,poids_g,temps_inspection_ms,decision,operateur_validation,shift,cout_non_qualite_mad
QC-00045,2026-04-20 17:15,Ligne Assemblage B,Pièce A,CAM-7,True,Dimension,95.35,28.73,50.2,81.47,118.88,42.0,Rejet,Corrigé,Matin,52.49
QC-00046,2026-03-03 06:00,Presse A,Pièce A,CAM-7,True,Assemblage,61.01,72.53,50.5,81.18,,66.9,Accepté,Validé,Après-midi,110.21
QC-00047,2026-03-03 14:45,Convoyeur C,Boîte D,CAM-6,False,Aucun,71.71,57.07,52.71,82.2,122.37,6.6,Accepté,Corrigé,Après-midi,6.28
QC-00048,2026-05-02 20:00,Convoyeur C,Pièce C,CAM-6,False,Aucun,82.51,90.3,47.97,78.96,118.76,31.8,Accepté,Validé,Nuit,2.5
QC-00049,2026-03-09 07:45,Machine Vision 1,Pièce B,CAM-8,False,Aucun,77.46,87.62,48.5,85.15,124.49,45.7,Accepté,Validé,Nuit,7.5
QC-00050,2026-02-07 15:00,Convoyeur C,Pièce A,CAM-3,False,Aucun,77.15,99.92,50.54,80.07,118.3,29.8,Accepté,Corrigé,Matin,0.5
QC-00051,2026-05-08 19:45,Machine Vision 1,Boîte D,CAM-7,True,Dimension,95.63,64.18,50.86,83.25,112.49,58.7,Rejet,Non vérifié,Nuit,90.49
QC-00052,2026-05-05 10:15,Machine Vision 2,Pièce C,CAM-1,False,Aucun,93.61,53.45,51.38,81.8,111.19,110.8,Accepté,Corrigé,Nuit,6.1
QC-00053,2026-01-11 08:45,Convoyeur C,Pièce B,CAM-3,True,Déformation,70.79,49.14,49.1,79.02,115.63,20.8,Accepté,Corrigé,Matin,158.88
QC-00054,2026-03-31 11:00,Machine Vision 1,Boîte D,CAM-8,False,Aucun,78.35,52.46,50.65,78.6,113.53,193.0,Accepté,Corrigé,Après-midi,6.24
QC-00055,2026-01-12 13:00,Machine Vision 2,Pièce B,CAM-2,False,Aucun,79.44,91.58,51.49,83.47,114.61,97.4,Accepté,Corrigé,Matin,3.55
QC-00056,2026-02-03 15:15,Presse A,Pièce C,CAM-8,False,Aucun,72.54,60.69,47.53,80.76,112.13,165.3,Accepté,Non vérifié,Après-midi,3.15
QC-00057,2026-04-18 12:30,Presse A,Pièce B,CAM-2,False,Aucun,89.32,,,82.66,136.04,56.3,Accepté,Validé,Matin,7.7
QC-00058,2026-02-08 19:45,Convoyeur C,Pièce A,CAM-4,False,Aucun,,60.17,50.24,79.55,112.44,114.5,Accepté,Corrigé,Matin,3.06
QC-00059,2026-01-03 06:00,Convoyeur C,Boîte D,CAM-7,False,Aucun,71.25,93.26,52.99,80.13,120.06,67.3,Accepté,Non vérifié,Après-midi,1.55
QC-00060,2026-04-23 12:45,Machine Vision 1,Pièce A,CAM-6,False,Aucun,86.53,50.98,46.1,77.95,121.73,28.1,Accepté,Validé,Nuit,5.15
QC-00061,2026-03-24 16:30,Ligne Assemblage B,Pièce C,CAM-5,False,Aucun,98.92,62.5,51.28,81.12,123.29,14.2,Accepté,Non vérifié,Nuit,3.65
QC-00062,2026-01-18 17:15,Ligne Assemblage B,Pièce B,CAM-8,True,Couleur,65.95,72.08,48.46,80.41,141.05,120.9,Accepté,Non vérifié,Matin,24.53
QC-00063,2026-02-22 17:00,Ligne Assemblage B,Pièce B,CAM-8,False,Aucun,94.34,76.95,46.97,79.48,114.65,76.5,Accepté,Non vérifié,Après-midi,5.96
QC-00064,2026-05-24 14:00,Machine Vision 1,Pièce A,CAM-1,False,Aucun,96.5,56.12,52.13,74.41,130.93,16.1,Accepté,Non vérifié,Nuit,5.65
QC-00065,2026-02-15 06:00,Convoyeur C,Pièce A,CAM-4,True,Déformation,94.09,64.73,49.83,77.49,125.55,55.1,Rejet,Non vérifié,Matin,108.86
QC-00066,2026-05-11 19:45,Machine Vision 1,Pièce B,CAM-7,False,Aucun,88.92,51.98,54.41,78.4,123.04,111.7,Accepté,Corrigé,Après-midi,0.02
QC-00067,2026-06-11 22:45,Machine Vision 1,Pièce A,CAM-5,True,Dimension,89.57,54.16,47.89,78.14,130.66,60.8,Rejet,Validé,Nuit,169.26
QC-00068,2026-01-26 12:15,Convoyeur C,Boîte D,CAM-7,False,Aucun,80.01,91.77,52.59,77.14,116.6,125.8,Accepté,Non vérifié,Nuit,5.33
QC-00069,2026-04-30 20:45,Machine Vision 2,Pièce B,CAM-2,True,Rayure,61.73,52.34,50.97,77.75,118.45,23.5,Accepté,Corrigé,Matin,86.21
QC-00070,2026-05-25 18:15,Machine Vision 2,Pièce B,CAM-1,False,Aucun,75.87,56.91,46.23,83.48,121.38,38.5,Accepté,Validé,Matin,4.36
QC-00071,2026-01-25 10:00,Convoyeur C,Pièce B,CAM-3,True,Fissure,77.04,67.46,52.42,80.06,125.63,98.8,Rejet,Validé,Nuit,115.53
QC-00072,2026-05-08 10:00,Machine Vision 1,Pièce A,CAM-8,False,Aucun,83.8,62.53,51.13,76.47,116.33,38.2,Accepté,Corrigé,Après-midi,7.59
QC-00073,2026-01-17 10:45,Convoyeur C,Pièce A,CAM-4,False,Aucun,72.25,98.06,50.23,79.68,120.57,231.2,Accepté,Non vérifié,Matin,1.3
QC-00074,2026-02-06 12:45,Machine Vision 2,Boîte D,CAM-1,True,Couleur,72.11,35.96,48.06,,115.78,17.7,Rejet,Validé,Nuit,63.86
QC-00075,2026-01-29 06:30,Presse A,Pièce B,CAM-4,False,Aucun,85.37,54.88,52.48,78.54,137.56,273.8,Accepté,Corrigé,Matin,1.97
QC-00076,2026-04-15 22:45,Ligne Assemblage B,Pièce B,CAM-6,False,Aucun,73.22,86.2,49.25,79.58,108.08,65.9,Accepté,Validé,Matin,5.07
QC-00077,2026-04-16 14:15,Machine Vision 2,Pièce C,CAM-3,False,Aucun,81.6,77.51,53.44,76.5,113.27,79.9,Accepté,Validé,Nuit,7.62
QC-00078,2026-05-23 16:15,Machine Vision 1,Pièce A,CAM-8,False,Aucun,94.64,50.63,53.69,78.17,127.17,22.8,Accepté,Corrigé,Après-midi,6.22
QC-00079,2026-04-01 13:15,Machine Vision 2,Pièce C,CAM-1,True,Rayure,94.71,57.13,49.58,78.87,121.0,107.2,Rejet,Validé,Après-midi,20.24
QC-00080,2026-05-20 08:45,Machine Vision 2,Boîte D,CAM-5,True,Fissure,57.19,53.62,46.61,76.52,127.84,246.8,Accepté,Non vérifié,Nuit,19.25
QC-00081,2026-05-05 15:00,Presse A,Pièce B,CAM-3,False,Aucun,97.23,52.83,45.9,81.8,106.31,19.8,Accepté,Corrigé,Nuit,2.28
QC-00082,2026-02-22 07:45,Machine Vision 1,Pièce A,CAM-5,True,Fissure,85.41,74.98,47.62,78.73,116.77,87.9,Rejet,Corrigé,Matin,71.85
QC-00083,2026-05-13 08:00,Presse A,Pièce B,CAM-8,False,Aucun,94.26,73.12,53.57,74.9,115.12,193.1,Accepté,Non vérifié,Après-midi,3.79
QC-00084,2026-01-06 16:30,Presse A,Pièce A,CAM-4,True,Rayure,59.7,29.92,50.38,78.48,114.26,32.3,Accepté,Validé,Nuit,103.73
QC-00085,2026-04-03 10:00,Machine Vision 2,Boîte D,CAM-4,False,Aucun,80.54,76.37,53.2,78.52,125.49,99.8,Accepté,Corrigé,Nuit,3.71
QC-00086,2026-02-06 17:00,Convoyeur C,Boîte D,CAM-1,False,Aucun,97.91,68.78,52.6,80.34,117.41,58.7,Accepté,Validé,Nuit,0.01
QC-00087,2026-04-09 13:00,Machine Vision 2,Boîte D,CAM-5,False,Aucun,70.71,59.06,51.08,80.78,135.65,31.8,Accepté,Non vérifié,Matin,5.36
QC-00088,2026-01-30 18:45,Ligne Assemblage B,Pièce B,CAM-4,False,Aucun,86.31,89.76,50.95,79.81,119.72,11.9,Accepté,Corrigé,Après-midi,7.54
QC-00089,2026-02-23 06:30,Machine Vision 2,Pièce A,CAM-8,False,Aucun,83.5,54.92,50.04,84.08,119.79,84.0,Accepté,Validé,Nuit,3.89
QC-00090,2026-06-06 10:15,Presse A,Pièce C,CAM-6,False,Aucun,79.0,76.71,49.75,83.11,137.27,51.0,Accepté,Validé,Après-midi,6.81
QC-00091,2026-05-28 10:45,Machine Vision 1,Boîte D,CAM-5,True,Rayure,91.69,43.95,51.71,77.59,122.49,110.5,Rejet,Corrigé,Nuit,63.09
QC-00092,2026-06-27 12:30,Machine Vision 1,Boîte D,CAM-2,False,Aucun,74.18,76.37,49.22,80.84,114.57,178.6,Accepté,Validé,Matin,0.28
QC-00093,2026-04-16 08:30,Ligne Assemblage B,Pièce B,CAM-8,False,Aucun,75.0,96.56,51.65,77.8,113.01,212.3,Accepté,Non vérifié,Après-midi,6.64
QC-00094,2026-06-16 22:00,Ligne Assemblage B,Pièce C,CAM-4,True,Dimension,93.46,64.59,49.08,85.56,126.54,25.1,Rejet,Non vérifié,Après-midi,110.66
QC-00095,2026-02-01 13:30,Machine Vision 2,Pièce A,CAM-3,True,Rayure,78.41,48.04,49.98,79.5,127.92,17.3,Rejet,Non vérifié,Matin,130.77
QC-00096,2026-01-01 17:45,Machine Vision 2,Pièce A,CAM-8,True,Fissure,75.9,37.2,49.83,84.4,107.53,24.5,Rejet,Validé,Après-midi,32.14
QC-00097,2026-01-03 17:45,Ligne Assemblage B,Pièce A,CAM-6,False,Aucun,94.92,68.13,51.44,82.84,132.79,54.1,Accepté,Non vérifié,Matin,1.47
QC-00098,2026-03-22 09:45,Convoyeur C,Boîte D,CAM-5,False,Aucun,88.23,64.14,51.93,79.96,125.9,73.2,Accepté,Corrigé,Matin,3.97
QC-00099,2026-05-02 06:45,Machine Vision 1,Pièce B,CAM-4,False,Aucun,84.25,92.94,44.52,76.14,125.59,133.5,Accepté,Non vérifié,Après-midi,3.87
QC-00100,2026-01-23 08:15,Ligne Assemblage B,Pièce C,CAM-8,False,Aucun,89.48,90.79,49.12,84.88,120.96,163.6,Accepté,Validé,Après-midi,7.23
QC-00101,2026-06-23 11:30,Convoyeur C,Boîte D,CAM-6,False,Aucun,88.4,82.5,47.9,80.66,129.14,72.3,Accepté,Validé,Matin,3.99
QC-00102,2026-03-18 06:00,Convoyeur C,Pièce A,CAM-4,True,Couleur,78.68,40.74,49.06,78.57,118.33,209.9,Rejet,Corrigé,Après-midi,141.71
QC-00103,2026-04-26 19:45,Convoyeur C,Pièce A,CAM-2,False,Aucun,96.46,67.16,54.25,82.39,118.73,143.2,Accepté,Validé,Matin,7.33
QC-00104,2026-06-19 17:30,Machine Vision 2,Boîte D,CAM-4,False,Aucun,98.26,51.47,50.91,80.41,113.47,55.9,Accepté,Validé,Après-midi,0.83
QC-00105,2026-03-24 19:45,Presse A,Pièce A,CAM-6,True,Rayure,61.3,30.45,50.16,84.83,121.89,75.0,Accepté,Non vérifié,Après-midi,30.78
QC-00106,2026-03-31 12:30,Machine Vision 2,Pièce C,CAM-8,True,Rayure,91.9,38.16,48.85,78.73,117.79,126.0,Rejet,Validé,Après-midi,62.48
QC-00107,2026-01-25 18:15,Machine Vision 1,Pièce B,CAM-4,False,Aucun,78.22,59.99,53.0,81.55,102.57,113.2,Accepté,Validé,Matin,6.57
QC-00108,2026-02-20 10:30,Ligne Assemblage B,Pièce A,CAM-5,True,Fissure,95.96,44.14,51.39,82.45,96.64,56.9,Rejet,Validé,Après-midi,30.29
QC-00109,2026-01-10 09:00,Presse A,Pièce B,CAM-1,True,Fissure,67.07,40.29,48.69,80.67,109.35,102.9,Accepté,Validé,Après-midi,33.18
QC-00110,2026-04-24 20:00,Presse A,Pièce B,CAM-4,False,Aucun,80.32,62.59,50.14,79.03,115.8,31.2,Accepté,Corrigé,Après-midi,6.31
QC-00111,2026-06-03 18:45,Presse A,Pièce A,CAM-8,True,Assemblage,90.8,34.69,51.48,77.08,106.65,35.5,Rejet,Corrigé,Matin,108.38
QC-00112,2026-03-26 07:45,Ligne Assemblage B,Boîte D,CAM-8,True,Rayure,85.69,36.06,50.48,82.77,119.75,80.6,Rejet,Validé,Après-midi,124.09
QC-00113,2026-02-18 10:00,Presse A,Pièce C,CAM-1,False,Aucun,80.48,73.4,48.84,80.6,118.85,65.6,Accepté,Validé,Nuit,6.61
QC-00114,2026-03-03 22:00,Convoyeur C,Pièce A,CAM-1,True,Rayure,89.98,64.11,49.95,80.64,109.84,67.8,Rejet,Corrigé,Nuit,32.04
QC-00115,2026-04-23 19:45,Convoyeur C,Pièce B,CAM-2,True,Fissure,61.91,63.6,50.44,81.95,122.64,100.9,Accepté,Non vérifié,Après-midi,83.98
QC-00116,2026-05-15 10:00,Ligne Assemblage B,Pièce B,CAM-4,True,Rayure,97.53,60.4,51.51,79.77,115.7,18.6,Rejet,Corrigé,Après-midi,138.51
QC-00117,2026-04-15 15:15,Machine Vision 1,Pièce B,CAM-7,False,Aucun,88.3,70.66,47.13,85.19,120.88,54.1,Accepté,Corrigé,Nuit,6.97
QC-00118,2026-01-04 16:30,Machine Vision 1,Pièce C,CAM-7,True,Assemblage,75.25,64.37,48.43,79.24,137.84,8.0,Rejet,Non vérifié,Nuit,128.12
QC-00119,2026-05-14 13:30,Presse A,Pièce C,CAM-1,False,Aucun,94.09,50.1,49.63,82.87,114.38,42.6,Accepté,Corrigé,Après-midi,4.7
QC-00120,2026-01-19 10:30,Ligne Assemblage B,Pièce A,CAM-8,True,Assemblage,95.88,69.87,47.36,76.79,125.86,76.4,Rejet,Non vérifié,Matin,42.06
QC-00121,2026-01-17 08:15,Presse A,Boîte D,CAM-1,False,Aucun,74.13,97.65,49.56,78.32,118.13,50.1,Accepté,Non vérifié,Nuit,4.47
QC-00122,2026-03-26 22:15,Presse A,Boîte D,CAM-3,False,Aucun,71.86,90.59,50.72,73.37,129.28,31.3,Accepté,Corrigé,Matin,6.08
QC-00123,2026-02-25 17:45,Presse A,Pièce C,CAM-5,False,Aucun,87.26,61.89,46.81,76.6,123.3,79.8,Accepté,Corrigé,Nuit,4.37
QC-00124,2026-06-04 10:15,Convoyeur C,Boîte D,CAM-4,True,Rayure,59.58,34.2,47.14,83.62,117.38,60.4,Accepté,Non vérifié,Après-midi,103.19
QC-00125,2026-01-25 12:15,Presse A,Boîte D,CAM-1,True,Rayure,92.61,37.37,50.21,84.07,109.98,41.6,Rejet,Corrigé,Après-midi,33.69
QC-00126,2026-05-02 19:45,Machine Vision 1,Boîte D,CAM-8,False,Aucun,81.42,76.25,50.77,77.24,110.61,234.6,Accepté,Validé,Après-midi,4.98
QC-00127,2026-06-07 18:45,Machine Vision 2,Boîte D,CAM-4,False,Aucun,83.78,93.93,51.86,80.11,,63.7,Accepté,Validé,Après-midi,3.8
QC-00128,2026-04-09 14:00,Machine Vision 1,Pièce C,CAM-6,False,Aucun,98.25,54.39,54.14,77.44,120.51,119.5,Accepté,Corrigé,Nuit,0.79
QC-00129,2026-05-19 10:30,Ligne Assemblage B,Pièce B,CAM-6,False,Aucun,77.33,80.39,48.55,79.27,128.17,59.3,Accepté,Non vérifié,Après-midi,3.74
QC-00130,2026-01-30 11:00,Machine Vision 1,Pièce B,CAM-2,False,Aucun,80.55,73.65,47.02,80.35,128.1,55.9,Accepté,Non vérifié,Après-midi,6.37
QC-00131,2026-05-13 10:45,Ligne Assemblage B,Pièce A,CAM-6,False,Aucun,86.38,96.57,48.74,79.99,114.31,41.5,Accepté,Validé,Après-midi,7.6
QC-00132,2026-04-27 15:15,Ligne Assemblage B,Pièce C,CAM-2,True,Rayure,66.19,41.32,51.34,81.15,117.13,10.9,Accepté,Validé,Matin,4.31
QC-00133,2026-04-07 20:00,Convoyeur C,Pièce B,CAM-6,True,Rayure,63.81,70.99,49.09,76.19,133.67,158.9,Accepté,Non vérifié,Après-midi,73.9
QC-00134,2026-06-17 07:15,Machine Vision 2,Pièce B,CAM-1,False,Aucun,97.53,55.48,50.79,81.03,119.3,254.6,Accepté,Non vérifié,Matin,6.16
QC-00135,2026-01-27 06:15,Presse A,Pièce A,CAM-5,False,Aucun,87.7,57.39,51.62,80.14,123.2,104.7,Accepté,Non vérifié,Matin,7.05
QC-00136,2026-02-20 06:45,Ligne Assemblage B,Pièce B,CAM-6,False,Aucun,97.34,70.67,50.9,73.65,118.81,62.3,Accepté,Corrigé,Après-midi,5.94
QC-00137,2026-03-19 10:45,Machine Vision 2,Boîte D,CAM-1,False,Aucun,70.41,93.15,51.62,83.05,119.88,46.8,Accepté,Validé,Matin,6.3
QC-00138,2026-03-31 13:00,Convoyeur C,Pièce B,CAM-8,False,Aucun,81.45,78.55,47.41,78.39,125.84,120.6,Accepté,Non vérifié,Nuit,3.47
QC-00139,2026-02-21 20:30,Presse A,Pièce A,CAM-1,False,Aucun,71.01,62.62,49.64,,,88.9,Accepté,Non vérifié,Nuit,3.81
QC-00140,2026-06-27 07:30,Machine Vision 1,Boîte D,CAM-2,False,Aucun,72.37,68.63,52.35,73.7,119.31,32.6,Accepté,Validé,Matin,0.49
QC-00141,2026-01-07 21:30,Machine Vision 1,Pièce B,CAM-4,True,Rayure,57.95,70.51,48.77,80.24,134.37,73.6,Accepté,Non vérifié,Après-midi,137.37
QC-00142,2026-04-20 11:00,Machine Vision 1,Boîte D,CAM-5,False,Aucun,77.04,51.44,48.56,78.75,109.82,204.6,Accepté,Corrigé,Après-midi,0.07
QC-00143,2026-04-24 21:45,Presse A,Pièce C,CAM-8,False,Aucun,70.49,94.07,48.96,72.64,111.23,16.5,Accepté,Validé,Nuit,7.73
QC-00144,2026-06-20 21:00,Convoyeur C,Boîte D,CAM-6,True,Rayure,85.46,70.15,48.29,83.23,120.41,156.8,Rejet,Non vérifié,Matin,111.73
QC-00145,2026-03-07 21:00,Machine Vision 1,Pièce C,CAM-4,True,Couleur,58.83,41.38,48.24,78.38,96.55,47.5,Accepté,Corrigé,Nuit,103.57
QC-00146,2026-02-26 13:15,Machine Vision 2,Pièce B,CAM-8,True,Couleur,87.59,32.56,50.2,80.8,116.6,24.6,Rejet,Non vérifié,Nuit,139.61
QC-00147,2026-05-23 22:15,Convoyeur C,Pièce B,CAM-6,True,Assemblage,95.37,,47.19,81.64,121.95,55.0,Rejet,Corrigé,Après-midi,122.35
QC-00148,2026-01-17 17:30,Convoyeur C,Pièce A,CAM-8,True,Assemblage,98.76,49.22,50.83,73.71,116.41,63.7,Rejet,Corrigé,Matin,127.81
QC-00149,2026-01-11 22:00,Convoyeur C,Pièce B,CAM-1,False,Aucun,83.15,60.88,51.53,81.01,133.45,34.5,Accepté,Validé,Après-midi,7.82
QC-00150,2026-03-29 15:45,Ligne Assemblage B,Pièce B,CAM-7,False,Aucun,80.32,62.81,50.02,82.06,114.78,97.7,Accepté,Validé,Matin,6.8
QC-00151,2026-03-01 07:45,Convoyeur C,Pièce A,CAM-5,True,Fissure,66.1,44.14,48.02,75.93,110.8,212.7,Accepté,Non vérifié,Matin,30.94
QC-00152,2026-01-13 17:00,Convoyeur C,Pièce C,CAM-7,True,Assemblage,62.07,31.11,51.48,77.35,118.32,27.6,Accepté,Corrigé,Nuit,129.64
QC-00153,2026-04-21 19:00,Machine Vision 2,Boîte D,CAM-6,False,Aucun,72.84,86.7,50.33,82.57,130.57,10.4,Accepté,Corrigé,Après-midi,2.39
QC-00154,2026-03-15 16:15,Ligne Assemblage B,Pièce A,CAM-4,True,Rayure,57.64,40.89,51.58,80.83,117.71,11.0,Accepté,Validé,Matin,9.52
QC-00155,2026-06-20 10:30,Machine Vision 1,Pièce A,CAM-4,True,Fissure,74.87,70.32,51.8,78.92,127.35,140.6,Rejet,Non vérifié,Nuit,81.43
QC-00156,2026-06-22 12:30,Machine Vision 1,Pièce A,CAM-6,True,Assemblage,68.43,28.66,48.06,82.61,140.11,92.7,Accepté,Validé,Matin,7.13
